,location,total_sqft,bath,price,bhk
0,1st Block Jayanagar,2850.0,4.0,428.0,4
1,1st Block Jayanagar,1630.0,3.0,194.0,3
2,1st Block Jayanagar,1875.0,2.0,235.0,3
3,1st Block Jayanagar,1200.0,2.0,130.0,3
4,1st Block Jayanagar,1235.0,2.0,148.0,2
5,1st Block Jayanagar,2750.0,4.0,413.0,4
6,1st Block Jayanagar,2450.0,4.0,368.0,4
8,1st Phase JP Nagar,1875.0,3.0,167.0,3
9,1st Phase JP Nagar,1500.0,5.0,85.0,5
10,1st Phase JP Nagar,2065.0,4.0,210.0,3
12,1st Phase JP Nagar,2059.0,3.0,225.0,3
13,1st Phase JP Nagar,1394.0,2.0,100.0,2
14,1st Phase JP Nagar,1077.0,2.0,93.0,2
15,1st Phase JP Nagar,1566.0,2.0,180.0,2
16,1st Phase JP Nagar,840.0,2.0,50.0,1
17,1st Phase JP Nagar,1590.0,3.0,131.0,3
18,1st Phase JP Nagar,2180.0,3.0,210.0,3
19,1st Phase JP Nagar,1180.0,2.0,88.5,2
20,1st Phase JP Nagar,1200.0,2.0,86.0,2
21,1st Phase JP Nagar,1394.0,2.0,85.0,2
22,1st Phase JP Nagar,2077.0,3.0,175.0,3
24,1st Phase JP Nagar,1205.0,2.0,85.0,2
26,1st Phase JP Nagar,900.0,2.0,75.0,2
580,BTM 2nd Stage,1260.0,5.0,185.0,3
581,BTM 2nd Stage,950.0,2.0,52.0,2
582,BTM 2nd Stage,1850.0,3.0,170.0,3
583,BTM 2nd Stage,1200.0,2.0,80.0,2
584,BTM 2nd Stage,1274.0,2.0,70.0,2
586,BTM 2nd Stage,1070.0,2.0,48.0,2
587,BTM 2nd Stage,1280.0,2.0,80.0,2
588,BTM 2nd Stage,1100.0,2.0,70.0,2
589,BTM 2nd Stage,1000.0,2.0,58.0,2
590,BTM 2nd Stage,2990.0,5.0,416.0,5
591,BTM 2nd Stage,1265.0,2.0,55.0,2
592,BTM 2nd Stage,2200.0,3.0,220.0,3
593,BTM 2nd Stage,2780.0,4.0,325.0,3
594,BTM 2nd Stage,2400.0,2.0,360.0,3
595,BTM 2nd Stage,965.0,2.0,56.0,2
596,BTM 2nd Stage,1147.0,2.0,75.0,2
597,BTM 2nd Stage,1750.0,3.0,172.0,3
598,BTM 2nd Stage,1400.0,2.0,90.0,2
599,BTM 2nd Stage,1200.0,2.0,70.0,2
600,BTM 2nd Stage,1100.0,2.0,47.0,2
601,BTM 2nd Stage,930.0,2.0,46.0,2
603,BTM 2nd Stage,2500.0,3.0,345.0,3
747,Banashankari Stage II,1700.0,2.0,150.0,2
748,Banashankari Stage II,1200.0,2.0,150.0,4
749,Banashankari Stage II,1500.0,2.0,120.0,3
750,Banashankari Stage II,2400.0,3.0,510.0,5
751,Banashankari Stage II,1240.0,2.0,59.52,3
752,Banashankari Stage II,1250.0,2.0,110.0,2
753,Banashankari Stage II,1260.0,2.0,95.0,3
754,Banashankari Stage II,2400.0,2.0,300.0,3
755,Banashankari Stage II,1400.0,2.0,100.0,2
756,Banashankari Stage II,2800.0,3.0,425.0,5
757,Banashankari Stage II,3000.0,3.0,450.0,3
758,Banashankari Stage II,1200.0,2.0,198.0,3
759,Banashankari Stage II,1245.0,2.0,125.0,2
989,Basaveshwara Nagar,4500.0,5.0,415.0,5
990,Basaveshwara Nagar,1865.0,3.0,145.0,3
991,Basaveshwara Nagar,1200.0,2.0,90.0,2
992,Basaveshwara Nagar,2400.0,4.0,310.0,5
993,Basaveshwara Nagar,1200.0,2.0,80.0,2
994,Basaveshwara Nagar,900.0,2.0,60.0,2
995,Basaveshwara Nagar,1900.0,3.0,150.0,3
996,Basaveshwara Nagar,1200.0,2.0,85.0,2
997,Basaveshwara Nagar,1200.0,2.0,70.0,2
1180,Benson Town,3200.0,4.0,350.0,3
1181,Benson Town,4460.0,5.0,650.0,4
1182,Benson Town,2850.0,4.0,470.0,3
1183,Benson Town,1300.0,2.0,120.0,2
1184,Benson Town,1567.0,3.0,140.0,2
1185,Benson Town,3633.0,6.0,550.0,4
1186,Benson Town,1688.12,2.0,270.0,2
